Type,A,B,HP,Win
0,6,3,18,125
0,6,3,19,117
0,6,3,20,124
0,6,3,21,122
0,6,3,22,144
0,6,3,23,137
0,6,3,24,143
0,6,3,25,150
0,6,3,26,150
0,6,3,27,152
0,6,3,28,156
0,6,3,29,150
0,6,3,30,161
0,6,5,1,10
0,6,5,2,21
0,6,5,3,23
0,6,5,4,18
0,6,5,5,57
0,6,5,6,58
0,6,5,7,59
0,6,5,8,62
0,6,5,9,99
0,6,5,10,102
0,6,5,11,101
0,6,5,12,107
0,6,5,13,115
0,6,5,14,112
0,6,5,15,130
0,6,5,16,122
0,6,5,17,118
0,6,5,18,131
0,6,5,19,123
0,6,5,20,110
0,6,5,21,115
0,6,5,22,142
0,6,5,23,147
0,6,5,24,151
0,6,5,25,130
0,6,5,26,158
0,6,5,27,151
0,6,5,28,168
0,6,5,29,146
0,6,5,30,162
0,6,8,1,17
0,6,8,2,17
0,6,8,3,17
0,6,8,4,16
0,6,8,5,64
0,6,8,6,62
0,6,8,7,58
0,6,8,8,75
0,6,8,9,99
0,6,8,10,99
0,6,8,11,94
0,6,8,12,102
0,6,8,13,121
0,6,8,14,117
0,6,8,15,110
0,6,8,16,119
0,6,8,17,119
0,6,8,18,132
0,6,8,19,127
0,6,8,20,127
0,6,8,21,145
0,6,8,22,145
0,6,8,23,157
0,6,8,24,147
0,6,8,25,145
0,6,8,26,147
0,6,8,27,146
0,6,8,28,169
0,6,8,29,167
0,6,8,30,155
0,6,10,1,12
0,6,10,2,22
0,6,10,3,20
0,6,10,4,24
0,6,10,5,53
0,6,10,6,54
0,6,10,7,61
0,6,10,8,54
0,6,10,9,98
0,6,10,10,99
0,6,10,11,114
0,6,10,12,104
0,6,10,13,114
0,6,10,14,120
0,6,10,15,111
0,6,10,16,118
0,6,10,17,123
0,6,10,18,134
0,6,10,19,122
0,6,10,20,129
0,6,10,21,142
0,6,10,22,149
0,6,10,23,138
0,6,10,24,145
0,6,10,25,150
0,6,10,26,160
0,6,10,27,149
0,6,10,28,163
0,6,10,29,167
0,6,10,30,167
0,6,12,1,15
0,6,12,2,14
0,6,12,3,17
0,6,12,4,13
0,6,12,5,59
0,6,12,6,69
0,6,12,7,68
0,6,12,8,67
0,6,12,9,100
0,6,12,10,106
0,6,12,11,113
0,6,12,12,107
0,6,12,13,95
0,6,12,14,110
0,6,12,15,125
0,6,12,16,116
0,6,12,17,111
0,6,12,18,121
0,6,12,19,138
0,6,12,20,131
0,6,12,21,145
0,6,12,22,137
0,6,12,23,140
0,6,12,24,140
0,6,12,25,163
0,6,12,26,160
0,6,12,27,146
0,6,12,28,145
0,6,12,29,165
0,6,12,30,174
0,6,14,1,16
0,6,14,2,12
0,6,14,3,17
0,6,14,4,19
0,6,14,5,59
0,6,14,6,73
0,6,14,7,71
0,6,14,8,69
0,6,14,9,113
0,6,14,10,111
0,6,14,11,112
0,6,14,12,105
0,6,14,13,114
0,6,14,14,107
0,6,14,15,111
0,6,14,16,112
0,6,14,17,132
0,6,14,18,118
0,6,14,19,137
0,6,14,20,124
0,6,14,21,147
0,6,14,22,132
0,6,14,23,135
0,6,14,24,135
0,6,14,25,156
0,6,14,26,150
0,6,14,27,165
0,6,14,28,168
0,6,14,29,153
0,6,14,30,164
0,8,0,1,18
0,8,0,2,17
0,8,0,3,13
0,8,0,4,15
0,8,0,5,19
0,8,0,6,70
0,8,0,7,81
0,8,0,8,87
0,8,0,9,75
0,8,0,10,67
0,8,0,11,110
0,8,0,12,114
0,8,0,13,111
0,8,0,14,106
0,8,0,15,121
0,8,0,16,116
0,8,0,17,130
0,8,0,18,116
0,8,0,19,113
0,8,0,20,123
0,8,0,21,127
0,8,0,22,136
0,8,0,23,144
0,8,0,24,131
0,8,0,25,143
0,8,0,26,144
0,8,0,27,137
0,8,0,28,149
0,8,0,29,156
0,8,0,30,167
0,8,1,1,16
0,8,1,2,26
0,8,1,3,19
0,8,1,4,23
0,8,1,5,18
0,8,1,6,70
0,8,1,7,85
0,8,1,8,73
0,8,1,9,77
0,8,1,10,79
0,8,1,11,114
0,8,1,12,115
0,8,1,13,108
0,8,1,14,111
0,8,1,15,136
0,8,1,16,109
0,8,1,17,118
0,8,1,18,130
0,8,1,19,124
0,8,1,20,129
0,8,1,21,143
0,8,1,22,119
0,8,1,23,149
0,8,1,24,130
0,8,1,25,147
0,8,1,26,160
0,8,1,27,148
0,8,1,28,145
0,8,1,29,145
0,8,1,30,164
0,8,3,1,21
0,8,3,2,23
0,8,3,3,21
0,8,3,4,15
0,8,3,5,66
0,8,3,6,69
0,8,3,7,85
0,8,3,8,67
0,8,3,9,112
0,8,3,10,106
0,8,3,11,116
0,8,3,12,119
0,8,3,13,116
0,8,3,14,111
0,8,3,15,126
0,8,3,16,116
0,8,3,17,116
0,8,3,18,141
0,8,3,19,129
0,8,3,20,128
0,8,3,21,128
0,8,3,22,158
0,8,3,23,149
0,8,3,24,141
0,8,3,25,145
0,8,3,26,158
0,8,3,27,157
0,8,3,28,173
0,8,3,29,141
0,8,3,30,165
0,8,5,1,18
0,8,5,2,24
0,8,5,3,13
0,8,5,4,25
0,8,5,5,73
0,8,5,6,78
0,8,5,7,62
0,8,5,8,64
0,8,5,9,105
0,8,5,10,100
0,8,5,11,118
0,8,5,12,115
0,8,5,13,115
0,8,5,14,121
0,8,5,15,122
0,8,5,16,135
0,8,5,17,137
0,8,5,18,123
0,8,5,19,137
0,8,5,20,132
0,8,5,21,140
0,8,5,22,148
0,8,5,23,147
0,8,5,24,155
0,8,5,25,149
0,8,5,26,158
0,8,5,27,158
0,8,5,28,157
0,8,5,29,170
0,8,5,30,155
0,8,8,1,30
0,8,8,2,24
0,8,8,3,19
0,8,8,4,16
0,8,8,5,63
0,8,8,6,71
0,8,8,7,81
0,8,8,8,80
0,8,8,9,109
0,8,8,10,101
0,8,8,11,122
0,8,8,12,114
0,8,8,13,119
0,8,8,14,120
0,8,8,15,123
0,8,8,16,126
0,8,8,17,134
0,8,8,18,130
0,8,8,19,125
0,8,8,20,128
0,8,8,21,134
0,8,8,22,153
0,8,8,23,137
0,8,8,24,153
0,8,8,25,147
0,8,8,26,167
0,8,8,27,158
0,8,8,28,160
0,8,8,29,159
0,8,8,30,171
0,8,10,1,22
0,8,10,2,24
0,8,10,3,20
0,8,10,4,12
0,8,10,5,85
0,8,10,6,65
0,8,10,7,59
0,8,10,8,69
0,8,10,9,104
0,8,10,10,106
0,8,10,11,121
0,8,10,12,114
0,8,10,13,117
0,8,10,14,120
0,8,10,15,110
0,8,10,16,125
0,8,10,17,110
0,8,10,18,130
0,8,10,19,127
0,8,10,20,135
0,8,10,21,126
0,8,10,22,142
0,8,10,23,139
0,8,10,24,156
0,8,10,25,151
0,8,10,26,162
0,8,10,27,157
0,8,10,28,162
0,8,10,29,160
0,8,10,30,162
0,8,12,1,21
0,8,12,2,16
0,8,12,3,15
0,8,12,4,20
0,8,12,5,67
0,8,12,6,81
0,8,12,7,81
0,8,12,8,88
0,8,12,9,106
0,8,12,10,115
0,8,12,11,117
0,8,12,12,117
0,8,12,13,129
0,8,12,14,121
0,8,12,15,115
0,8,12,16,131
0,8,12,17,127
0,8,12,18,127
0,8,12,19,135
0,8,12,20,131
0,8,12,21,147
0,8,12,22,145
0,8,12,23,148
0,8,12,24,155
0,8,12,25,158
0,8,12,26,145
0,8,12,27,163
0,8,12,28,160
0,8,12,29,158
0,8,12,30,167
0,8,14,1,23
0,8,14,2,25
0,8,14,3,19
0,8,14,4,14
0,8,14,5,65
0,8,14,6,70
0,8,14,7,80
0,8,14,8,78
0,8,14,9,117
0,8,14,10,119
0,8,14,11,103
0,8,14,12,120
0,8,14,13,113
0,8,14,14,115
0,8,14,15,121
0,8,14,16,117
0,8,14,17,126
0,8,14,18,120
0,8,14,19,142
0,8,14,20,137
0,8,14,21,148
0,8,14,22,138
0,8,14,23,158
0,8,14,24,157
0,8,14,25,169
0,8,14,26,154
0,8,14,27,159
0,8,14,28,169
0,8,14,29,169
0,8,14,30,163
0,10,0,1,27
0,10,0,2,25
0,10,0,3,27
0,10,0,4,21
0,10,0,5,26
0,10,0,6,96
0,10,0,7,90
0,10,0,8,88
0,10,0,9,89
0,10,0,10,97
0,10,0,11,113
0,10,0,12,142
0,10,0,13,139
0,10,0,14,128
0,10,0,15,136
0,10,0,16,137
0,10,0,17,144
0,10,0,18,147
0,10,0,19,146
0,10,0,20,150
0,10,0,21,150
0,10,0,22,155
0,10,0,23,154
0,10,0,24,164
0,10,0,25,166
0,10,0,26,174
0,10,0,27,168
0,10,0,28,161
0,10,0,29,166
0,10,0,30,168
0,10,1,1,29
0,10,1,2,34
0,10,1,3,26
0,10,1,4,36
0,10,1,5,23
0,10,1,6,89
0,10,1,7,94
0,10,1,8,99
0,10,1,9,94
0,10,1,10,97
0,10,1,11,125
0,10,1,12,118
0,10,1,13,125
0,10,1,14,138
0,10,1,15,142
0,10,1,16,127
0,10,1,17,140
0,10,1,18,140
0,10,1,19,134
0,10,1,20,155
0,10,1,21,148
0,10,1,22,149
0,10,1,23,145
0,10,1,24,143
0,10,1,25,169
0,10,1,26,174
0,10,1,27,167
0,10,1,28,165
0,10,1,29,154
0,10,1,30,165
0,10,3,1,25
0,10,3,2,31
0,10,3,3,29
0,10,3,4,18
0,10,3,5,94
0,10,3,6,102
0,10,3,7,97
0,10,3,8,116
0,10,3,9,129
0,10,3,10,138
0,10,3,11,128
0,10,3,12,131
0,10,3,13,134
0,10,3,14,126
0,10,3,15,146
0,10,3,16,132
0,10,3,17,144
0,10,3,18,139
0,10,3,19,147
0,10,3,20,147
0,10,3,21,148
0,10,3,22,146
0,10,3,23,160
0,10,3,24,160
0,10,3,25,159
0,10,3,26,157
0,10,3,27,176
0,10,3,28,163
0,10,3,29,169
0,10,3,30,179
0,10,5,1,26
0,10,5,2,19
0,10,5,3,30
0,10,5,4,26
0,10,5,5,97
0,10,5,6,112
0,10,5,7,93
0,10,5,8,107
0,10,5,9,122
0,10,5,10,133
