No,A,B,S,C,HP,Win,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
39,8,8,10,1,60,230,1,5,13,17,26,27,11,12,11,1,4,2,6,6,10,12,6,7,7,1,0,0,0,0,0,0,0,0,0,3,11,8,9,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,8,8,10,1,62,207,0,0,3,2,8,20,23,18,20,18,6,1,1,5,4,10,5,3,8,5,4,0,0,0,0,0,0,0,0,0,0,1,9,7,9,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,8,8,10,1,61,220,0,0,7,13,26,28,24,16,16,5,0,2,1,5,6,9,7,3,3,3,1,0,0,0,0,0,0,0,0,0,1,9,12,5,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,8,8,10,1,63,225,0,0,0,0,8,21,18,28,19,25,13,9,1,3,2,5,5,8,5,5,5,3,1,0,0,0,0,0,0,0,0,0,0,11,9,8,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,8,8,10,1,64,207,0,0,0,0,0,9,11,15,28,24,22,12,3,3,1,4,3,11,5,6,7,4,4,0,0,0,0,0,0,0,0,0,0,3,8,8,7,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,8,8,10,1,66,226,1,0,0,0,0,0,3,4,15,23,28,23,19,10,6,0,0,0,5,4,8,4,12,3,5,3,0,0,0,0,0,0,0,0,0,2,10,16,8,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,8,8,10,1,67,241,4,2,0,0,0,0,0,0,6,10,18,37,20,24,10,4,0,2,1,6,8,10,11,7,5,7,0,0,0,0,0,0,0,0,0,0,0,11,14,9,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,8,10,1,65,230,0,1,0,0,0,5,10,17,27,19,26,16,12,6,3,1,2,4,10,1,7,8,8,7,3,0,0,0,0,0,0,0,0,0,0,6,11,11,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,8,10,1,68,250,18,4,0,0,0,0,0,0,1,13,8,16,24,22,21,12,4,2,1,3,9,8,11,8,8,8,7,1,0,0,0,0,0,0,0,0,0,1,6,8,11,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,8,8,10,3,50,87,2,1,0,1,1,3,4,5,10,4,6,2,4,0,0,0,0,0,0,0,10,7,11,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
