No,A,B,S,C,HP,Win,Frame
582,11,3,5,6,60,2,1221
583,11,3,5,9,50,0,0
584,11,3,5,9,51,1,545
585,11,3,5,9,52,1,569
586,11,3,5,9,53,1,627
589,11,3,5,9,56,0,0
588,11,3,5,9,55,1,544
587,11,3,5,9,54,1,642
592,11,3,5,9,59,2,1183
593,11,3,5,9,60,1,569
591,11,3,5,9,58,2,1279
590,11,3,5,9,57,1,629
594,11,3,5,11,50,2,1213
595,11,3,5,11,51,1,649
596,11,3,5,11,52,2,1222
598,11,3,5,11,54,1,598
599,11,3,5,11,55,0,0
597,11,3,5,11,53,1,612
600,11,3,5,11,56,1,580
601,11,3,5,11,57,1,658
607,11,3,5,14,52,0,0
605,11,3,5,14,50,0,0
604,11,3,5,11,60,2,1182
602,11,3,5,11,58,0,0
603,11,3,5,11,59,1,681
606,11,3,5,14,51,0,0
608,11,3,5,14,53,1,645
610,11,3,5,14,55,1,679
609,11,3,5,14,54,1,679
611,11,3,5,14,56,1,651
615,11,3,5,14,60,1,569
612,11,3,5,14,57,0,0
613,11,3,5,14,58,2,1265
614,11,3,5,14,59,1,562
616,11,5,5,6,50,2,1234
618,11,5,5,6,52,1,472
619,11,5,5,6,53,1,588
620,11,5,5,6,54,2,1233
621,11,5,5,6,55,1,622
623,11,5,5,6,57,0,0
622,11,5,5,6,56,1,622
624,11,5,5,6,58,1,637
633,11,5,5,9,56,1,615
632,11,5,5,9,55,1,636
629,11,5,5,9,52,2,1202
630,11,5,5,9,53,1,764
627,11,5,5,9,50,1,599
625,11,5,5,6,59,1,561
626,11,5,5,6,60,2,1512
631,11,5,5,9,54,0,0
634,11,5,5,9,57,1,621
637,11,5,5,9,60,1,575
636,11,5,5,9,59,0,0
638,11,5,5,11,50,1,601
635,11,5,5,9,58,1,645
639,11,5,5,11,51,1,620
640,11,5,5,11,52,1,675
645,11,5,5,11,57,2,1096
643,11,5,5,11,55,1,651
642,11,5,5,11,54,1,548
641,11,5,5,11,53,0,0
644,11,5,5,11,56,1,573
647,11,5,5,11,59,2,1217
646,11,5,5,11,58,1,761
651,11,5,5,14,52,0,0
648,11,5,5,11,60,2,1102
649,11,5,5,14,50,0,0
650,11,5,5,14,51,1,637
652,11,5,5,14,53,2,1326
654,11,5,5,14,55,0,0
655,11,5,5,14,56,1,787
656,11,5,5,14,57,1,581
657,11,5,5,14,58,2,1251
653,11,5,5,14,54,1,704
658,11,5,5,14,59,1,796
660,11,8,5,6,50,1,600
659,11,5,5,14,60,1,559
661,11,8,5,6,51,1,702
662,11,8,5,6,52,1,577
664,11,8,5,6,54,2,1245
672,11,8,5,9,51,0,0
663,11,8,5,6,53,1,630
673,11,8,5,9,52,1,515
668,11,8,5,6,58,2,1206
666,11,8,5,6,56,2,1352
669,11,8,5,6,59,1,420
667,11,8,5,6,57,1,704
665,11,8,5,6,55,1,576
671,11,8,5,9,50,2,1259
675,11,8,5,9,54,1,725
674,11,8,5,9,53,1,575
670,11,8,5,6,60,1,634
617,11,5,5,6,51,0,0
676,11,8,5,9,55,0,0
679,11,8,5,9,58,0,0
677,11,8,5,9,56,1,630
682,11,8,5,11,50,2,1003
678,11,8,5,9,57,2,1366
684,11,8,5,11,52,1,665
681,11,8,5,9,60,2,1216
680,11,8,5,9,59,2,1271
685,11,8,5,11,53,2,1173
686,11,8,5,11,54,1,578
683,11,8,5,11,51,1,626
688,11,8,5,11,56,2,1248
628,11,5,5,9,51,1,462
687,11,8,5,11,55,1,662
690,11,8,5,11,58,2,1301
691,11,8,5,11,59,1,633
692,11,8,5,11,60,2,1329
689,11,8,5,11,57,1,869
693,11,8,5,14,50,1,650
696,11,8,5,14,53,1,573
697,11,8,5,14,54,1,559
694,11,8,5,14,51,2,1230
698,11,8,5,14,55,1,608
700,11,8,5,14,57,1,496
699,11,8,5,14,56,1,730
704,11,11,5,6,50,1,579
701,11,8,5,14,58,1,556
695,11,8,5,14,52,0,0
705,11,11,5,6,51,2,1101
703,11,8,5,14,60,1,599
706,11,11,5,6,52,1,639
702,11,8,5,14,59,2,1555
709,11,11,5,6,55,1,784
707,11,11,5,6,53,0,0
708,11,11,5,6,54,1,657
711,11,11,5,6,57,2,1194
710,11,11,5,6,56,1,631
715,11,11,5,9,50,1,597
713,11,11,5,6,59,2,1319
714,11,11,5,6,60,1,656
717,11,11,5,9,52,1,541
712,11,11,5,6,58,1,639
716,11,11,5,9,51,1,784
718,11,11,5,9,53,0,0
719,11,11,5,9,54,1,704
720,11,11,5,9,55,2,1221
722,11,11,5,9,57,1,584
724,11,11,5,9,59,2,1182
723,11,11,5,9,58,2,1213
721,11,11,5,9,56,0,0
726,11,11,5,11,50,1,843
727,11,11,5,11,51,1,563
725,11,11,5,9,60,2,1400
729,11,11,5,11,53,1,616
730,11,11,5,11,54,1,626
732,11,11,5,11,56,0,0
731,11,11,5,11,55,1,577
733,11,11,5,11,57,1,687
734,11,11,5,11,58,1,734
736,11,11,5,11,60,2,1250
740,11,11,5,14,53,0,0
738,11,11,5,14,51,0,0
735,11,11,5,11,59,0,0
742,11,11,5,14,55,2,1141
741,11,11,5,14,54,1,628
737,11,11,5,14,50,0,0
743,11,11,5,14,56,1,530
744,11,11,5,14,57,1,619
739,11,11,5,14,52,0,0
748,11,13,5,6,50,0,0
745,11,11,5,14,58,2,1188
746,11,11,5,14,59,2,1355
747,11,11,5,14,60,1,701
755,11,13,5,6,57,0,0
749,11,13,5,6,51,2,1391
751,11,13,5,6,53,1,595
750,11,13,5,6,52,2,1166
754,11,13,5,6,56,1,587
753,11,13,5,6,55,1,590
752,11,13,5,6,54,1,591
758,11,13,5,6,60,2,1258
762,11,13,5,9,53,0,0
756,11,13,5,6,58,0,0
759,11,13,5,9,50,1,714
761,11,13,5,9,52,1,708
760,11,13,5,9,51,1,689
763,11,13,5,9,54,2,1220
764,11,13,5,9,55,2,1179
765,11,13,5,9,56,2,1207
766,11,13,5,9,57,2,1273
767,11,13,5,9,58,1,659
770,11,13,5,11,50,1,814
768,11,13,5,9,59,2,1368
769,11,13,5,9,60,0,0
772,11,13,5,11,52,1,566
773,11,13,5,11,53,0,0
771,11,13,5,11,51,2,1251
776,11,13,5,11,56,1,497
774,11,13,5,11,54,2,1321
778,11,13,5,11,58,1,486
777,11,13,5,11,57,0,0
779,11,13,5,11,59,2,1202
775,11,13,5,11,55,1,593
782,11,13,5,14,51,1,628
780,11,13,5,11,60,1,770
784,11,13,5,14,53,1,592
783,11,13,5,14,52,0,0
785,11,13,5,14,54,1,681
786,11,13,5,14,55,0,0
788,11,13,5,14,57,0,0
781,11,13,5,14,50,1,660
787,11,13,5,14,56,1,719
728,11,11,5,11,52,2,1172
790,11,13,5,14,59,1,483
789,11,13,5,14,58,2,1254
792,13,0,5,6,50,0,0
791,11,13,5,14,60,0,0
793,13,0,5,6,51,1,577
796,13,0,5,6,54,1,637
794,13,0,5,6,52,2,1230
795,13,0,5,6,53,1,652
799,13,0,5,6,57,2,1123
797,13,0,5,6,55,2,1265
800,13,0,5,6,58,2,1143
802,13,0,5,6,60,1,553
801,13,0,5,6,59,1,628
805,13,0,5,9,52,1,596
798,13,0,5,6,56,1,540
804,13,0,5,9,51,1,571
803,13,0,5,9,50,1,656
807,13,0,5,9,54,1,685
808,13,0,5,9,55,2,1397
806,13,0,5,9,53,1,664
810,13,0,5,9,57,2,1236
809,13,0,5,9,56,2,1278
815,13,0,5,11,51,1,467
811,13,0,5,9,58,1,568
812,13,0,5,9,59,2,1220
813,13,0,5,9,60,1,652
814,13,0,5,11,50,2,1183
816,13,0,5,11,52,1,653
819,13,0,5,11,55,1,637
757,11,13,5,6,59,2,1203
817,13,0,5,11,53,2,1359
820,13,0,5,11,56,1,591
818,13,0,5,11,54,1,646
821,13,0,5,11,57,2,1179
822,13,0,5,11,58,2,1207
823,13,0,5,11,59,1,575
825,13,0,5,14,50,1,579
828,13,0,5,14,53,2,1059
826,13,0,5,14,51,2,1223
827,13,0,5,14,52,1,603
830,13,0,5,14,55,2,1174
832,13,0,5,14,57,1,477
833,13,0,5,14,58,2,1198
829,13,0,5,14,54,0,0
831,13,0,5,14,56,2,1425
835,13,0,5,14,60,1,563
834,13,0,5,14,59,1,638
836,13,3,5,6,50,2,1237
837,13,3,5,6,51,2,1140
838,13,3,5,6,52,2,1148
840,13,3,5,6,54,1,557
839,13,3,5,6,53,2,1420
841,13,3,5,6,55,1,598
844,13,3,5,6,58,1,629
845,13,3,5,6,59,1,531
843,13,3,5,6,57,2,1320
847,13,3,5,9,50,1,566
850,13,3,5,9,53,0,0
848,13,3,5,9,51,1,544
846,13,3,5,6,60,2,1244
849,13,3,5,9,52,1,593
842,13,3,5,6,56,0,0
852,13,3,5,9,55,1,649
851,13,3,5,9,54,1,596
853,13,3,5,9,56,1,519
