No,Type,A,B,S,C,HP,Win,Frame
521,0,8,13,5,14,54,1,697
523,0,8,13,5,14,56,1,630
522,0,8,13,5,14,55,2,1279
526,0,8,13,5,14,59,1,586
529,0,11,0,5,6,51,1,567
527,0,8,13,5,14,60,2,1193
528,0,11,0,5,6,50,1,645
525,0,8,13,5,14,58,1,631
530,0,11,0,5,6,52,2,1282
531,0,11,0,5,6,53,1,559
533,0,11,0,5,6,55,0,0
532,0,11,0,5,6,54,1,594
534,0,11,0,5,6,56,2,1189
535,0,11,0,5,6,57,1,610
540,0,11,0,5,9,51,1,542
537,0,11,0,5,6,59,1,556
541,0,11,0,5,9,52,0,0
538,0,11,0,5,6,60,0,0
536,0,11,0,5,6,58,2,1303
542,0,11,0,5,9,53,2,1305
544,0,11,0,5,9,55,0,0
539,0,11,0,5,9,50,2,1423
543,0,11,0,5,9,54,1,673
545,0,11,0,5,9,56,2,1238
548,0,11,0,5,9,59,1,564
549,0,11,0,5,9,60,1,643
551,0,11,0,5,11,51,1,561
546,0,11,0,5,9,57,0,0
547,0,11,0,5,9,58,1,534
550,0,11,0,5,11,50,1,567
553,0,11,0,5,11,53,0,0
556,0,11,0,5,11,56,0,0
552,0,11,0,5,11,52,1,560
560,0,11,0,5,11,60,1,452
554,0,11,0,5,11,54,2,1394
557,0,11,0,5,11,57,2,1107
555,0,11,0,5,11,55,1,584
559,0,11,0,5,11,59,1,589
558,0,11,0,5,11,58,1,619
561,0,11,0,5,14,50,1,579
562,0,11,0,5,14,51,2,1199
564,0,11,0,5,14,53,2,1192
563,0,11,0,5,14,52,1,608
565,0,11,0,5,14,54,1,616
566,0,11,0,5,14,55,1,606
567,0,11,0,5,14,56,1,634
568,0,11,0,5,14,57,2,1122
570,0,11,0,5,14,59,1,557
573,0,11,3,5,6,51,0,0
572,0,11,3,5,6,50,1,661
571,0,11,0,5,14,60,0,0
569,0,11,0,5,14,58,1,660
574,0,11,3,5,6,52,2,1241
575,0,11,3,5,6,53,2,1209
576,0,11,3,5,6,54,1,603
577,0,11,3,5,6,55,1,646
580,0,11,3,5,6,58,1,625
581,0,11,3,5,6,59,1,579
578,0,11,3,5,6,56,2,1360
579,0,11,3,5,6,57,1,615
582,0,11,3,5,6,60,0,0
584,0,11,3,5,9,51,1,588
585,0,11,3,5,9,52,0,0
583,0,11,3,5,9,50,2,1243
586,0,11,3,5,9,53,2,1206
587,0,11,3,5,9,54,2,1218
588,0,11,3,5,9,55,1,600
589,0,11,3,5,9,56,2,1178
590,0,11,3,5,9,57,2,1250
592,0,11,3,5,9,59,1,601
593,0,11,3,5,9,60,2,1106
591,0,11,3,5,9,58,1,610
594,0,11,3,5,11,50,1,635
596,0,11,3,5,11,52,2,1169
