Type,A,B,HP,Win
0,6,5,5,31
0,6,5,6,26
0,6,5,7,37
0,6,5,8,31
0,6,5,9,53
0,6,5,10,43
0,6,5,11,55
0,6,5,12,57
0,6,5,13,55
0,6,5,14,66
0,6,5,15,55
0,6,5,16,68
0,6,5,17,54
0,6,5,18,71
0,6,5,19,71
0,6,5,20,67
0,6,5,21,69
0,6,5,22,71
0,6,5,23,67
0,6,5,24,79
0,6,5,25,74
0,6,5,26,72
0,6,5,27,79
0,6,5,28,72
0,6,5,29,69
0,6,5,30,84
0,6,8,1,11
0,6,8,2,6
0,6,8,3,8
0,6,8,4,9
0,6,8,5,31
0,6,8,6,29
0,6,8,7,40
0,6,8,8,29
0,6,8,9,50
0,6,8,10,53
0,6,8,11,50
0,6,8,12,62
0,6,8,13,54
0,6,8,14,58
0,6,8,15,53
0,6,8,16,56
0,6,8,17,52
0,6,8,18,60
0,6,8,19,67
0,6,8,20,59
0,6,8,21,60
0,6,8,22,77
0,6,8,23,72
0,6,8,24,79
0,6,8,25,78
0,6,8,26,77
0,6,8,27,86
0,6,8,28,78
0,6,8,29,84
0,6,8,30,78
0,6,10,1,9
0,6,10,2,8
0,6,10,3,11
0,6,10,4,6
0,6,10,5,32
0,6,10,6,27
0,6,10,7,32
0,6,10,8,32
0,6,10,9,45
0,6,10,10,56
0,6,10,11,68
0,6,10,12,55
0,6,10,13,55
0,6,10,14,60
0,6,10,15,52
0,6,10,16,54
0,6,10,17,65
0,6,10,18,66
0,6,10,19,64
0,6,10,20,71
0,6,10,21,72
0,6,10,22,75
0,6,10,23,78
0,6,10,24,79
0,6,10,25,71
0,6,10,26,78
0,6,10,27,87
0,6,10,28,80
0,6,10,29,75
0,6,10,30,78
0,6,12,1,6
0,6,12,2,7
0,6,12,3,9
0,6,12,4,12
0,6,12,5,32
0,6,12,6,28
0,6,12,7,32
0,6,12,8,30
0,6,12,9,42
0,6,12,10,50
0,6,12,11,43
0,6,12,12,50
0,6,12,13,55
0,6,12,14,52
0,6,12,15,55
0,6,12,16,55
0,6,12,17,64
0,6,12,18,63
0,6,12,19,70
0,6,12,20,60
0,6,12,21,57
0,6,12,22,68
0,6,12,23,67
0,6,12,24,74
0,6,12,25,80
0,6,12,26,79
0,6,12,27,76
0,6,12,28,75
0,6,12,29,82
0,6,12,30,83
0,6,14,1,7
0,6,14,2,12
0,6,14,3,10
0,6,14,4,3
0,6,14,5,33
0,6,14,6,38
0,6,14,7,31
0,6,14,8,30
0,6,14,9,53
0,6,14,10,52
0,6,14,11,52
0,6,14,12,50
0,6,14,13,61
0,6,14,14,56
0,6,14,15,56
0,6,14,16,55
0,6,14,17,62
0,6,14,18,68
0,6,14,19,72
0,6,14,20,70
0,6,14,21,72
0,6,14,22,69
0,6,14,23,67
0,6,14,24,68
0,6,14,25,68
0,6,14,26,75
0,6,14,27,72
0,6,14,28,81
0,6,14,29,87
0,6,14,30,75
0,8,0,1,8
0,8,0,2,12
0,8,0,3,10
0,8,0,4,6
0,8,0,5,12
0,8,0,6,37
0,8,0,7,37
0,8,0,8,35
0,8,0,9,43
0,8,0,10,37
0,8,0,11,55
0,8,0,12,57
0,8,0,13,66
0,8,0,14,54
0,8,0,15,62
0,8,0,16,63
0,8,0,17,58
0,8,0,18,61
0,8,0,19,56
0,8,0,20,67
0,8,0,21,72
0,8,0,22,70
0,8,0,23,63
0,8,0,24,66
0,8,0,25,77
0,8,0,26,79
0,8,0,27,79
0,8,0,28,78
0,8,0,29,72
0,8,0,30,81
0,8,1,1,6
0,8,1,2,10
0,8,1,3,13
0,8,1,4,7
0,8,1,5,14
0,8,1,6,29
0,8,1,7,33
0,8,1,8,30
0,8,1,9,36
0,8,1,10,43
0,8,1,11,47
0,8,1,12,60
0,8,1,13,46
0,8,1,14,59
0,8,1,15,47
0,8,1,16,55
0,8,1,17,61
0,8,1,18,56
0,8,1,19,61
0,8,1,20,63
0,8,1,21,69
0,8,1,22,62
0,8,1,23,68
0,8,1,24,70
0,8,1,25,73
0,8,1,26,76
0,8,1,27,75
0,8,1,28,74
0,8,1,29,78
0,8,1,30,76
0,8,3,1,7
0,8,3,2,7
0,8,3,3,6
0,8,3,4,5
0,8,3,5,28
0,8,3,6,42
0,8,3,7,37
0,8,3,8,37
0,8,3,9,56
0,8,3,10,49
0,8,3,11,62
0,8,3,12,74
0,8,3,13,53
0,8,3,14,67
0,8,3,15,67
0,8,3,16,61
0,8,3,17,61
0,8,3,18,63
0,8,3,19,64
0,8,3,20,72
0,8,3,21,71
0,8,3,22,73
0,8,3,23,77
0,8,3,24,75
0,8,3,25,84
0,8,3,26,80
0,8,3,27,72
0,8,3,28,86
0,8,3,29,81
0,8,3,30,78
0,8,5,1,9
0,8,5,2,6
0,8,5,3,10
0,8,5,4,14
0,8,5,5,45
0,8,5,6,33
0,8,5,7,42
0,8,5,8,35
0,8,5,9,53
0,8,5,10,57
0,8,5,11,55
0,8,5,12,68
0,8,5,13,53
0,8,5,14,61
0,8,5,15,69
0,8,5,16,55
0,8,5,17,56
0,8,5,18,66
0,8,5,19,62
0,8,5,20,61
0,8,5,21,58
0,8,5,22,78
0,8,5,23,75
0,8,5,24,74
0,8,5,25,78
0,8,5,26,81
0,8,5,27,81
0,8,5,28,84
0,8,5,29,73
0,8,5,30,78
0,8,8,1,12
0,8,8,2,10
0,8,8,3,9
0,8,8,4,11
0,8,8,5,40
0,8,8,6,42
0,8,8,7,29
0,8,8,8,31
0,8,8,9,45
0,8,8,10,62
0,8,8,11,57
0,8,8,12,64
0,8,8,13,56
0,8,8,14,66
0,8,8,15,70
0,8,8,16,64
0,8,8,17,59
0,8,8,18,62
0,8,8,19,70
0,8,8,20,59
0,8,8,21,59
0,8,8,22,71
0,8,8,23,72
0,8,8,24,74
0,8,8,25,78
0,8,8,26,65
0,8,8,27,82
0,8,8,28,83
0,8,8,29,81
0,8,8,30,77
0,8,10,1,7
0,8,10,2,11
0,8,10,3,13
0,8,10,4,9
0,8,10,5,24
0,8,10,6,27
0,8,10,7,37
0,8,10,8,36
0,8,10,9,60
0,8,10,10,57
0,8,10,11,68
0,8,10,12,52
0,8,10,13,59
0,8,10,14,66
0,8,10,15,61
0,8,10,16,63
0,8,10,17,66
0,8,10,18,66
0,8,10,19,71
0,8,10,20,71
0,8,10,21,75
0,8,10,22,71
0,8,10,23,70
0,8,10,24,72
0,8,10,25,79
0,8,10,26,85
0,8,10,27,82
0,8,10,28,77
0,8,10,29,78
0,8,10,30,77
0,8,12,1,9
0,8,12,2,11
0,8,12,3,15
0,8,12,4,9
0,8,12,5,39
0,8,12,6,30
0,8,12,7,38
0,8,12,8,42
0,8,12,9,52
0,8,12,10,55
0,8,12,11,58
0,8,12,12,64
0,8,12,13,59
0,8,12,14,60
0,8,12,15,59
0,8,12,16,58
0,8,12,17,59
0,8,12,18,68
0,8,12,19,58
0,8,12,20,64
0,8,12,21,76
0,8,12,22,73
0,8,12,23,78
0,8,12,24,75
0,8,12,25,81
0,8,12,26,82
0,8,12,27,74
0,8,12,28,82
0,8,12,29,86
0,8,12,30,81
0,8,14,1,8
0,8,14,2,6
0,8,14,3,9
0,8,14,4,9
0,8,14,5,35
0,8,14,6,35
0,8,14,7,36
0,8,14,8,39
0,8,14,9,57
0,8,14,10,54
0,8,14,11,67
0,8,14,12,60
0,8,14,13,59
0,8,14,14,57
0,8,14,15,59
0,8,14,16,65
0,8,14,17,70
0,8,14,18,68
0,8,14,19,60
0,8,14,20,64
0,8,14,21,72
0,8,14,22,79
0,8,14,23,77
0,8,14,24,86
0,8,14,25,79
0,8,14,26,78
0,8,14,27,80
0,8,14,28,75
0,8,14,29,83
0,8,14,30,88
0,10,0,1,16
0,10,0,2,11
0,10,0,3,6
0,10,0,4,12
0,10,0,5,10
0,10,0,6,51
0,10,0,7,56
0,10,0,8,53
0,10,0,9,40
0,10,0,10,48
0,10,0,11,67
0,10,0,12,64
0,10,0,13,63
0,10,0,14,63
0,10,0,15,74
0,10,0,16,65
0,10,0,17,69
0,10,0,18,75
0,10,0,19,71
0,10,0,20,78
0,10,0,21,72
0,10,0,22,73
0,10,0,23,74
0,10,0,24,69
0,10,0,25,80
0,10,0,26,84
0,10,0,27,69
0,10,0,28,79
0,10,0,29,86
0,10,0,30,82
0,10,1,1,11
0,10,1,2,9
0,10,1,3,8
0,10,1,4,17
0,10,1,5,11
0,10,1,6,39
0,10,1,7,50
0,10,1,8,44
0,10,1,9,44
0,10,1,10,53
0,10,1,11,60
0,10,1,12,61
0,10,1,13,68
0,10,1,14,70
0,10,1,15,73
0,10,1,16,66
0,10,1,17,67
0,10,1,18,75
0,10,1,19,72
0,10,1,20,70
0,10,1,21,80
0,10,1,22,78
0,10,1,23,73
0,10,1,24,74
0,10,1,25,81
0,10,1,26,88
0,10,1,27,81
0,10,1,28,82
0,10,1,29,82
0,10,1,30,88
0,10,3,1,8
0,10,3,2,11
0,10,3,3,11
0,10,3,4,9
0,10,3,5,51
0,10,3,6,46
0,10,3,7,45
0,10,3,8,51
0,10,3,9,69
0,10,3,10,69
0,10,3,11,69
0,10,3,12,65
0,10,3,13,59
0,10,3,14,69
0,10,3,15,65
0,10,3,16,69
0,10,3,17,66
0,10,3,18,76
0,10,3,19,84
0,10,3,20,80
0,10,3,21,72
0,10,3,22,68
0,10,3,23,80
0,10,3,24,77
0,10,3,25,82
0,10,3,26,88
0,10,3,27,92
0,10,3,28,83
0,10,3,29,87
0,10,3,30,89
0,10,5,1,15
0,10,5,2,13
0,10,5,3,19
0,10,5,4,12
0,10,5,5,49
0,10,5,6,54
0,10,5,7,50
0,10,5,8,50
0,10,5,9,65
0,10,5,10,63
0,10,5,11,72
0,10,5,12,69
0,10,5,13,62
0,10,5,14,63
0,10,5,15,75
0,10,5,16,75
0,10,5,17,57
0,10,5,18,74
0,10,5,19,73
0,10,5,20,72
0,10,5,21,72
0,10,5,22,87
0,10,5,23,89
0,10,5,24,82
0,10,5,25,84
0,10,5,26,84
0,10,5,27,84
0,10,5,28,90
0,10,5,29,90
0,10,5,30,91
0,10,8,1,16
0,10,8,2,13
0,10,8,3,16
0,10,8,4,12
0,10,8,5,48
0,10,8,6,52
0,10,8,7,42
0,10,8,8,53
0,10,8,9,67
0,10,8,10,65
0,10,8,11,64
0,10,8,12,61
0,10,8,13,67
0,10,8,14,68
0,10,8,15,69
0,10,8,16,72
0,10,8,17,68
0,10,8,18,72
0,10,8,19,69
0,10,8,20,74
0,10,8,21,75
0,10,8,22,76
0,10,8,23,83
0,10,8,24,81
0,10,8,25,88
0,10,8,26,86
0,10,8,27,89
0,10,8,28,87
0,10,8,29,93
0,10,8,30,88
0,10,10,1,13
0,10,10,2,13
0,10,10,3,13
0,10,10,4,15
0,10,10,5,56
0,10,10,6,39
0,10,10,7,41
0,10,10,8,56
0,10,10,9,61
0,10,10,10,68
0,10,10,11,67
0,10,10,12,70
0,10,10,13,69
0,10,10,14,67
0,10,10,15,68
0,10,10,16,67
0,10,10,17,66
0,10,10,18,72
0,10,10,19,73
0,10,10,20,81
0,10,10,21,81
0,10,10,22,75
0,10,10,23,82
0,10,10,24,80
0,10,10,25,82
0,10,10,26,85
0,10,10,27,82
0,10,10,28,80
0,10,10,29,90
0,10,10,30,88
0,10,12,1,13
0,10,12,2,23
0,10,12,3,16
0,10,12,4,14
0,10,12,5,57
0,10,12,6,54
0,10,12,7,41
0,10,12,8,51
0,10,12,9,65
0,10,12,10,73
0,10,12,11,75
0,10,12,12,66
0,10,12,13,67
0,10,12,14,69
